학습 시작...
Episode 1, Reward: -184545.36, Buffer Size: 1000
Episode 2, Reward: -118795.04, Buffer Size: 2000
Episode 3, Reward: -169332.79, Buffer Size: 3000
Episode 4, Reward: -166831.46, Buffer Size: 4000
Episode 5, Reward: -125141.23, Buffer Size: 5000
Episode 6, Reward: -156169.12, Buffer Size: 6000
Episode 7, Reward: -112618.68, Buffer Size: 7000
Episode 8, Reward: -9917.19, Buffer Size: 8000
Episode 9, Reward: -28.25, Buffer Size: 9000
Episode 10, Reward: -68.56, Buffer Size: 10000
Episode 11, Reward: -114.06, Buffer Size: 11000
Episode 12, Reward: -171.95, Buffer Size: 12000
Episode 13, Reward: -273.15, Buffer Size: 13000
Episode 14, Reward: -377.61, Buffer Size: 14000
Episode 15, Reward: -551.59, Buffer Size: 15000
Episode 16, Reward: -777.44, Buffer Size: 16000
Episode 17, Reward: -1020.83, Buffer Size: 17000
Episode 18, Reward: -1120.34, Buffer Size: 18000
Episode 19, Reward: -1084.14, Buffer Size: 19000
Episode 20, Reward: -972.85, Buffer Size: 20000
Episode 21, Reward: -1070.00, Buffer Size: 21000
Episode 22, Reward: -989.87, Buffer Size: 22000
Episode 23, Reward: -1217.72, Buffer Size: 23000
Episode 24, Reward: -1493.96, Buffer Size: 24000
Episode 25, Reward: -1888.59, Buffer Size: 25000
Episode 26, Reward: -2152.17, Buffer Size: 26000
Episode 27, Reward: -2434.42, Buffer Size: 27000
Episode 28, Reward: -5108.96, Buffer Size: 28000
Episode 29, Reward: -5925.51, Buffer Size: 29000
Episode 30, Reward: -5968.57, Buffer Size: 30000
Episode 31, Reward: -5255.52, Buffer Size: 31000
Episode 32, Reward: -4748.95, Buffer Size: 32000
Episode 33, Reward: -3992.59, Buffer Size: 33000
Episode 34, Reward: -3414.70, Buffer Size: 34000
Episode 35, Reward: -3327.12, Buffer Size: 35000
Episode 36, Reward: -2905.34, Buffer Size: 36000
Episode 37, Reward: -3118.58, Buffer Size: 37000
Episode 38, Reward: -4188.26, Buffer Size: 38000
Episode 39, Reward: -10224.94, Buffer Size: 39000
Episode 40, Reward: -7212.19, Buffer Size: 40000
Episode 41, Reward: -9180.75, Buffer Size: 41000
Episode 42, Reward: -5588.60, Buffer Size: 42000
Episode 43, Reward: -7376.56, Buffer Size: 43000
Episode 44, Reward: -8573.87, Buffer Size: 44000
Episode 45, Reward: -8680.24, Buffer Size: 45000
Episode 46, Reward: -3280.36, Buffer Size: 46000
Episode 47, Reward: -767.73, Buffer Size: 47000
Episode 48, Reward: -359.91, Buffer Size: 48000
Episode 49, Reward: -495.09, Buffer Size: 49000
Episode 50, Reward: -468.42, Buffer Size: 50000
Episode 51, Reward: -474.50, Buffer Size: 51000
Episode 52, Reward: -471.74, Buffer Size: 52000
Episode 53, Reward: -350.24, Buffer Size: 53000
Episode 54, Reward: -314.46, Buffer Size: 54000
Episode 55, Reward: -320.08, Buffer Size: 55000
Episode 56, Reward: -1970.35, Buffer Size: 56000
Episode 57, Reward: -358.95, Buffer Size: 57000
Episode 58, Reward: -318.19, Buffer Size: 58000
Episode 59, Reward: -501.05, Buffer Size: 59000
Episode 60, Reward: -1335.97, Buffer Size: 60000
Episode 61, Reward: -1801.33, Buffer Size: 61000
Episode 62, Reward: -2085.92, Buffer Size: 62000
Episode 63, Reward: -1883.05, Buffer Size: 63000
Episode 64, Reward: -1646.78, Buffer Size: 64000
Episode 65, Reward: -889.36, Buffer Size: 65000
Episode 66, Reward: -879.77, Buffer Size: 66000
Episode 67, Reward: -893.40, Buffer Size: 67000
Episode 68, Reward: -832.08, Buffer Size: 68000
Episode 69, Reward: -719.75, Buffer Size: 69000
Episode 70, Reward: -699.69, Buffer Size: 70000
Episode 71, Reward: -754.83, Buffer Size: 71000
Episode 72, Reward: -751.67, Buffer Size: 72000
Episode 73, Reward: -794.81, Buffer Size: 73000
Episode 74, Reward: -849.80, Buffer Size: 74000
Episode 75, Reward: -1455.54, Buffer Size: 75000
Episode 76, Reward: -1759.58, Buffer Size: 76000
Episode 77, Reward: -1380.29, Buffer Size: 77000
Episode 78, Reward: -472.08, Buffer Size: 78000
Episode 79, Reward: -187.36, Buffer Size: 79000
Episode 80, Reward: -82.64, Buffer Size: 80000
Episode 81, Reward: -139.66, Buffer Size: 81000
Episode 82, Reward: -104.76, Buffer Size: 82000
Episode 83, Reward: -148.41, Buffer Size: 83000
Episode 84, Reward: -138.21, Buffer Size: 84000
Episode 85, Reward: -203.81, Buffer Size: 85000
Episode 86, Reward: -245.93, Buffer Size: 86000
Episode 87, Reward: -282.60, Buffer Size: 87000
Episode 88, Reward: -296.07, Buffer Size: 88000
Episode 89, Reward: -327.83, Buffer Size: 89000
Episode 90, Reward: -360.61, Buffer Size: 90000
Episode 91, Reward: -378.88, Buffer Size: 91000
Episode 92, Reward: -429.13, Buffer Size: 92000
Episode 93, Reward: -519.52, Buffer Size: 93000
Episode 94, Reward: -375.99, Buffer Size: 94000
Episode 95, Reward: -277.23, Buffer Size: 95000
Episode 96, Reward: -235.16, Buffer Size: 96000
Episode 97, Reward: -239.78, Buffer Size: 97000
Episode 98, Reward: -213.35, Buffer Size: 98000
Episode 99, Reward: -203.37, Buffer Size: 99000
Episode 100, Reward: -211.74, Buffer Size: 100000
학습 완료!
