nohup: ignoring input
2026-09-03 20:51:13.771421: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F AVX512_VNNI FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-09-03 20:51:14.040650: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-09-03 20:51:14.100871: E tensorflow/stream_executor/cuda/cuda_blas.cc:2981] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2026-09-03 20:51:14.987518: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/usr/local/cuda-11.2/lib64:/usr/local/cuda-11.2/lib64
2026-09-03 20:51:14.987626: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: :/usr/local/cuda-11.2/lib64:/usr/local/cuda-11.2/lib64
2026-09-03 20:51:14.987636: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
[MW Env] 분기점 56개, 도로 선분 1831개, 이웃간격 중앙값 2453 m, rho_max=50.0
2026-09-03 20:51:17.108251: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F AVX512_VNNI FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-09-03 20:51:17.788043: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1616] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 46430 MB memory:  -> device: 0, name: NVIDIA RTX A6000, pci bus id: 0000:b5:00.0, compute capability: 8.6
2026-09-03 20:51:19.678749: I tensorflow/stream_executor/cuda/cuda_blas.cc:1614] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.

--- [학습 루프 테스트: 동적 도로 분할 연산 시뮬레이션] ---
[Test 1] 균등 가중치(유클리드) 적용 시 평균 표준편차: 0.13058294
학습 시작...
Episode 1, Reward: -137.88, Buffer Size: 1000
Episode 2, Reward: -133.87, Buffer Size: 2000
Episode 3, Reward: -131.69, Buffer Size: 3000
Episode 4, Reward: -133.99, Buffer Size: 4000
Episode 5, Reward: -135.46, Buffer Size: 5000
Episode 6, Reward: -136.13, Buffer Size: 6000
Episode 7, Reward: -138.09, Buffer Size: 7000
Episode 8, Reward: -134.08, Buffer Size: 8000
Episode 9, Reward: -135.87, Buffer Size: 9000
Episode 10, Reward: -136.47, Buffer Size: 10000
Episode 11, Reward: -136.88, Buffer Size: 11000
Episode 12, Reward: -128.98, Buffer Size: 12000
Episode 13, Reward: -134.24, Buffer Size: 13000
Episode 14, Reward: -129.96, Buffer Size: 14000
Episode 15, Reward: -136.76, Buffer Size: 15000
Episode 16, Reward: -136.00, Buffer Size: 16000
Episode 17, Reward: -132.17, Buffer Size: 17000
Episode 18, Reward: -136.54, Buffer Size: 18000
Episode 19, Reward: -132.96, Buffer Size: 19000
Episode 20, Reward: -132.58, Buffer Size: 20000
Episode 21, Reward: -137.92, Buffer Size: 21000
Episode 22, Reward: -134.46, Buffer Size: 22000
Episode 23, Reward: -130.26, Buffer Size: 23000
Episode 24, Reward: -128.57, Buffer Size: 24000
Episode 25, Reward: -132.55, Buffer Size: 25000
Episode 26, Reward: -135.67, Buffer Size: 26000
Episode 27, Reward: -136.04, Buffer Size: 27000
Episode 28, Reward: -134.57, Buffer Size: 28000
Episode 29, Reward: -131.16, Buffer Size: 29000
Episode 30, Reward: -132.59, Buffer Size: 30000
Episode 31, Reward: -134.57, Buffer Size: 31000
Episode 32, Reward: -131.97, Buffer Size: 32000
Episode 33, Reward: -129.60, Buffer Size: 33000
Episode 34, Reward: -132.34, Buffer Size: 34000
