site_id,type,x_m,y_m,lat,lon,weight_balanced,captured_vol_eucl,captured_vol_weighted
0,FF_Based,-3511.1287725915736,-15615.841109643421,33.926516,-118.27914066666666,-45726209.94679714,5033849.0,2927089.0
1,FF_Based,5313.526576280085,-16765.554069643298,33.916188,-118.18344499999999,-752931.0474425032,2742670.5,2751395.5
2,FF_Based,-4049.607743779484,-21646.2124896433,33.872344500000004,-118.28497999999999,-23125028.48878085,2540958.0,2875145.5
3,FF_Based,6280.132908508711,-3627.6153782149436,34.03420757142857,-118.172963,1361500.0656129862,2718050.0,2923909.0
4,FF_Based,-4090.0821099832365,-23358.531669643264,33.85696254545454,-118.28541890909091,-23621236.795795232,2993896.5,2901805.5
5,FF_Based,-882.2859929679536,3826.883363689996,34.101172166666665,-118.25063316666667,27727082.352956027,3419197.5,2654453.0
6,FF_Based,1984.0279187441527,14690.722760356719,34.19876325,-118.2195505,48126257.169956826,171048.5,370545.5
7,FF_Based,5380.751916500687,-17813.63186964323,33.906773,-118.182716,856482.4467720878,840367.0,2959070.0
8,FF_Based,-3977.771612048163,-3314.2018696436053,34.037023,-118.284201,-7571981.70718456,3771552.0,2781926.5
9,FF_Based,-3061.699554773175,-3435.2623696434716,34.0359355,-118.27426700000001,-1875058.0027967002,2906531.5,2950469.5
10,FF_Based,-10986.08249194472,-14962.615349643474,33.932384,-118.3602,-12138945.628528567,2178200.0,4359962.5
11,FF_Based,6131.75763770597,-17295.99386964345,33.911423,-118.174572,-592173.6793669849,1076449.5,2791531.5
12,FF_Based,-18813.50048365279,22429.494350356697,34.2682815,-118.4450815,48126257.169956826,1239104.0,2606056.0
13,FF_Based,6381.355151465318,-5516.00014964358,34.017244,-118.17186533333334,-1209651.1182694756,4238040.0,2644517.0
14,FF_Based,2966.7522607241876,-26809.862252500407,33.82595885714286,-118.20889371428571,-41446771.01119986,4781422.5,3082286.5
15,FF_Based,-12244.920790098986,-15229.560709643414,33.929986,-118.373851,-13508710.49764656,2404106.0,1357521.0
16,FF_Based,2604.9105166822487,-4241.7996239291015,34.02869028571428,-118.21281757142857,18107438.169075392,1371698.0,2960008.5
17,FF_Based,22313.523258182566,-327.61782964334174,34.06385181818182,-117.99909490909091,-48126257.169956826,5615981.5,4441813.0
18,FF_Based,12536.884772217893,-18299.654989643735,33.902407,-118.105114,-40605717.82021367,2574316.0,2954148.0
19,FF_Based,40108.08087454866,-276.1836525004589,34.06431385714286,-117.8061285,-15792729.245199217,3227111.0,2739541.0
20,FF_Based,44810.6732438655,-4232.814509643474,34.028771,-117.755133,-12918846.325825833,2493942.5,2895776.5
21,FF_Based,12803.542214566129,-21307.52138964324,33.875387,-118.10222233333333,-48126257.169956826,6507237.5,4027960.5
22,FF_Based,1153.7626914756324,8014.444910356405,34.1387895,-118.228554,48126257.169956826,540147.5,2163609.5
23,FF_Based,1551.3578302579501,8883.480393213895,34.14659614285714,-118.22424242857143,48126257.169956826,789782.5,1788768.5
24,FF_Based,37816.88635722787,6049.535590356717,34.1211385,-117.8309745,-5798602.696367749,1847611.5,2797447.0
25,FF_Based,-3896.4372498059224,9495.446190356972,34.15209350000001,-118.28331899999999,7203934.5746012665,3641976.5,2920771.0
26,FF_Based,-21784.494731953895,22177.484423690083,34.26601766666667,-118.47729933333333,40561940.95305156,4130611.5,2922086.0
27,FF_Based,6826.16453700628,-593.252947290539,34.06146558823529,-118.16704176470589,-7012192.967382762,3801509.0,2862653.5
28,FF_Based,13522.187864021209,-14333.045089643321,33.9380395,-118.09442925,-46431151.86610773,3815674.0,2827095.5
29,FF_Based,-23142.607213652755,27998.58348035679,34.31830925,-118.492026875,31682702.24541571,924066.0,2758412.5
30,FF_Based,7777.660356175039,9428.264570356529,34.151489999999995,-118.156723625,10166023.068566814,3466053.0,2771357.0
31,FF_Based,-17716.9620466618,-4006.7235896432135,34.030802,-118.4331905,-48126257.169956826,7606324.5,6318308.0
32,FF_Based,-12363.012382261815,9642.243874356598,34.1534122,-118.3751316,-29547651.03600824,5663377.5,2686507.0
33,FF_Based,25184.239777182316,7654.157730356816,34.135553,-117.9679645,-19197704.98320683,2776626.5,2875038.5
34,FF_Based,1180.4130664062905,16133.958730356728,34.211728,-118.228265,48126257.169956826,681610.0,681610.0
35,FF_Based,-14783.438164035397,24008.624210356294,34.282467,-118.401379,48126257.169956826,734099.5,734099.5
36,FF_Based,-15854.617247717986,25186.38981035679,34.293047,-118.412995,48126257.169956826,538901.0,652294.5
37,FF_Based,2523.536633369177,15624.892370356662,34.207155,-118.2137,48126257.169956826,1691569.0,1838552.0
38,FF_Based,13498.51144961606,-31153.218789642986,33.786942,-118.094686,-35567393.55085569,2574415.0,2749562.5
39,FF_Based,-4576.897860902799,-35348.702609643165,33.7492535,-118.29069799999999,48126257.169956826,416645.5,1311814.5
40,FF_Based,26468.536231319023,7436.2408789283645,34.13359542857143,-117.95403742857143,-20299220.998712063,2616759.5,2833183.5
41,FF_Based,19239.59239080843,-4092.551309643247,34.030031,-118.032429,-48126257.169956826,9158432.5,6910290.5
42,FF_Based,617.9426100587457,9347.000970356838,34.150760000000005,-118.2343645,46333330.30395207,872494.0,2903422.0
43,FF_Based,4356.602906222826,-21571.683749643613,33.873014,-118.193822,-9407595.16728971,2936989.0,2797908.5
44,FF_Based,-14932.059343718438,-8757.63854964346,33.988124,-118.40299066666667,-38995281.74175287,2804393.5,2953126.5
45,FF_Based,3151.40348263847,-1428.7008163100827,34.05396066666667,-118.20689133333333,23617852.006360717,1233881.5,2094214.0
46,FF_Based,39030.86165398704,-5581.79026964358,34.016653,-117.81781,-48126257.169956826,5687254.0,4984272.5
47,FF_Based,2430.7675081806624,-867.0543096437441,34.059006,-118.214706,29439915.854858443,624834.5,3581133.5
48,FF_Based,-17791.795192875798,21056.41781035653,34.255947,-118.434002,47170689.8982892,853308.5,2739396.0
49,FF_Based,-16134.523031007011,19141.305637023153,34.23874333333333,-118.41603033333334,34505825.45183798,2300396.5,2861636.5
50,FF_Based,-24749.38736615686,29851.699690356443,34.334956,-118.509451,-433784.87903672,4928039.0,2738031.0
51,FF_Based,-636.0543570100867,-371.5689896434,34.063457,-118.247963,21061887.316113725,2647450.0,2870474.5
52,FF_Based,38777.72920006864,5954.1900103565895,34.120282,-117.820555,-3890512.879321946,2645551.0,2964772.0
53,FF_Based,-21101.283015256347,10473.615030356365,34.1608805,-118.4698905,-48126257.169956826,10766042.0,9212379.0
54,Geometric_Fallback,1816.9789423241075,1749.9675703563303,34.082515,-118.221362,35216385.298124455,1127500.5,2740602.5
55,Geometric_Fallback,-57148.128287735206,12305.49695035654,34.177336499999996,-118.860787,-48126257.169956826,7116828.0,7005122.5
