fwy,dir,sta_from,sta_to,mid_x,mid_y,x1,y1,x2,y2,speed_pm_mph,vol_day_veh,cell_euclidean_mid,cell_weighted_mid
2,E,767494,767509,-790.2853330342476,4310.04927036293,-799.2763764796551,4067.3160103631617,-781.2942895888401,4552.782530362699,65.62277899884366,3294.0,5,5
2,E,767509,767523,-477.8119923781221,4901.548090362902,-781.2942895888401,4552.782530362699,-174.32969516740405,5250.313650363106,65.80168461391126,4102.5,5,5
2,E,767523,767541,36.47569268608433,5367.255310362891,-174.32969516740405,5250.313650363106,247.2810805395727,5484.1969703626755,66.70832992437914,4187.5,5,5
2,E,767541,767554,638.8294955976767,5763.276210362828,247.2810805395727,5484.1969703626755,1030.3779106557806,6042.35545036298,67.07362698241047,4147.0,22,22
2,E,767554,767572,1098.2026537733993,6430.2499903628695,1030.3779106557806,6042.35545036298,1166.027396891018,6818.144530362759,64.96908179605896,4727.0,22,22
2,E,767572,767620,1126.1901582413027,7224.128570362853,1166.027396891018,6818.144530362759,1086.3529195915874,7630.112610362947,61.78444592664465,5176.0,22,22
2,E,767620,767455,1229.7024276486636,8257.734770363073,1086.3529195915874,7630.112610362947,1373.05193570574,8885.356930363201,64.84880430089764,3198.5,22,22
2,E,767455,768202,1391.9100729826196,8960.386610363208,1373.05193570574,8885.356930363201,1410.768210259499,9035.416290363215,67.36913960620217,1609.5,23,23
2,E,768202,767470,1483.7109319531296,9482.75571036291,1410.768210259499,9035.416290363215,1556.6536536467602,9930.095130362604,67.20076906174467,3089.5,23,23
2,E,767470,767585,1560.3422868555526,10507.233670362843,1556.6536536467602,9930.095130362604,1564.0309200643449,11084.372210363083,68.6241758950928,3901.5,42,42
2,E,767585,767597,1688.0151037770634,11554.977510362965,1564.0309200643449,11084.372210363083,1811.9992874897819,12025.582810362846,69.6172346979847,3368.0,42,42
2,E,767597,767609,1991.5435089027687,12562.200870362958,1811.9992874897819,12025.582810362846,2171.0877303157554,13098.81893036307,66.78366833032041,3789.0,6,6
2,E,767609,768238,2092.3354113193413,13981.976150363074,2171.0877303157554,13098.81893036307,2013.5830923229273,14865.133370363079,66.1468798573047,3049.5,6,6
2,W,767495,718064,-616.7812484996348,4581.948370362623,-821.5926073897365,4070.65561036264,-411.96988960953297,5093.241130362606,62.83528915536232,4064.0,5,5
2,W,718064,767542,-90.32107384805167,5297.568990362839,-411.96988960953297,5093.241130362606,231.32774191342963,5501.896850363073,57.47416655716187,6100.5,5,5
2,W,767542,718066,645.8378986933993,5809.362690363139,231.32774191342963,5501.896850363073,1060.348055473369,6116.8285303632065,58.845032004530964,7193.5,22,22
2,W,718066,767573,1100.1852941230845,6468.321430363248,1060.348055473369,6116.8285303632065,1140.0225327727999,6819.814330363289,61.132041224366674,7793.5,22,22
2,W,767573,767621,1100.0930782931105,7223.7946103633,1140.0225327727999,6819.814330363289,1060.1636238134208,7627.774890363312,61.50678966514266,8213.5,22,22
2,W,767621,762329,1099.908646632507,7820.30283036328,1060.1636238134208,7627.774890363312,1139.653669451593,8012.830770363249,63.47491414554088,6908.0,22,22
2,W,762329,767454,1247.8689461994272,8451.654210363089,1139.653669451593,8012.830770363249,1356.0842229472612,8890.477650362927,67.44071448340956,4938.5,22,22
2,W,767454,718072,1374.2046335830373,8978.531770362875,1356.0842229472612,8890.477650362927,1392.3250442188134,9066.585890362825,68.08218375875083,4305.0,23,23
2,W,718072,767471,1463.192909732785,9500.511250362772,1392.3250442188134,9066.585890362825,1534.0607752467565,9934.436610362718,65.65875071907698,6513.5,23,23
2,W,767471,718076,1475.7342626407133,10219.861090362669,1534.0607752467565,9934.436610362718,1417.40775003467,10505.285570362621,63.846999271356964,7797.5,42,42
2,W,718076,767598,1601.4244392125393,11266.603050362946,1417.40775003467,10505.285570362621,1785.4411283904085,12027.920530363272,63.74327258326939,7166.5,42,42
2,W,767598,767610,1964.524270652214,12563.481050363285,1785.4411283904085,12027.920530363272,2143.6074129140197,13099.041570363299,63.88681432844639,7706.5,6,6
