fwy,dir,sta_from,sta_to,mid_x,mid_y,speed_pm_mph,vol_day_veh,cell_euclidean,cell_weighted
2,E,767494,767509,-790.2853330316262,4310.049270356603,65.83716120219447,56885.0,5,22
2,E,767509,767523,-477.81199237550084,4901.548090356575,66.46036947247318,59057.0,5,22
2,E,767523,767541,36.47569268870525,5367.255310356563,66.50067867737629,63834.0,5,22
2,E,767541,767554,638.829495600297,5763.2762103565,66.55695151385089,67546.5,22,22
2,E,767554,767572,1098.2026537760196,6430.249990356542,68.64550777357627,63236.0,22,22
2,E,767572,767620,1126.190158243923,7224.1285703565245,69.37971573729239,59125.0,22,22
2,E,767620,767455,1229.7024276512839,8257.734770356747,66.19342408467773,46068.0,22,22
2,E,767455,768202,1391.9100729852396,8960.38661035688,67.22084104386592,29496.0,23,23
2,E,768202,767470,1483.7109319557494,9482.755710356581,69.30351288347455,38414.0,23,23
2,E,767470,767585,1560.3422868581724,10507.233670356516,69.7948463656671,47955.0,42,23
2,E,767585,767597,1688.0151037796832,11554.977510356635,70.90644356836673,47395.5,42,42
2,E,767597,767609,1991.543508905388,12562.20087035663,70.89345800723831,48899.0,6,6
2,E,767609,768238,2092.335411321961,13981.976150356746,71.39584142003686,36351.5,6,6
2,W,767495,718064,-616.7812484970134,4581.9483703562955,51.99971431538758,68495.0,5,22
2,W,718064,767542,-90.32107384543067,5297.568990356513,57.41664180416976,71657.5,5,22
2,W,767542,718066,645.8378986960197,5809.362690356812,65.24009979408646,68020.5,22,22
2,W,718066,767573,1100.1852941257043,6468.321430356919,66.4059312135959,63241.0,22,22
2,W,767573,767621,1100.0930782957303,7223.794610356972,64.46815233225048,67052.5,22,22
2,W,767621,762329,1099.9086466351268,7820.302830356952,65.1323919887777,58264.5,22,22
2,W,762329,767454,1247.868946202047,8451.654210356759,65.54428663155662,47593.5,22,22
2,W,767454,718072,1374.2046335856571,8978.531770356549,66.64031214091699,37372.5,23,23
2,W,718072,767471,1463.192909735405,9500.511250356445,66.13701057385134,45102.5,23,23
2,W,767471,718076,1475.7342626433333,10219.861090356342,65.25233003302614,55444.5,42,23
2,W,718076,767598,1601.424439215159,11266.603050356618,66.80432576930113,50648.0,42,42
2,W,767598,767610,1964.5242706548338,12563.481050356957,66.8982142006015,52185.0,6,6
2,W,767610,768230,2068.174863807811,13986.317630356858,68.19515406884824,33613.0,6,6
5,N,762347,716896,20563.304525512627,-20976.62268964354,68.32364956825532,68787.0,21,21
5,N,716896,716899,19964.27049248862,-20587.78192964327,67.93207531391988,85067.0,21,21
5,N,716899,716900,19390.918568177265,-20215.5835096433,67.98210719668425,85071.0,21,18
5,N,716900,762353,18765.787455204412,-19809.432489643234,67.93207531391988,85067.0,21,18
5,N,762353,718358,17931.787486813424,-19265.355989643365,67.93207531391988,85067.0,18,18
